id,DayofWeek,CRSDepTime,UniqueCarrier,FlightNum,Origin,Dest,ArrDelay
1,5,600,UA,899.0,ORD,IAD,-3
2,5,615,DL,357.0,IAD,ATL,5
3,5,615,UA,341.0,IAD,DEN,8
4,5,625,CO,581.0,IAD,DEN,44
5,5,630,UA,902.0,CLE,IAD,-10
6,5,635,EA,931.0,CLE,IAD,-13
7,5,635,UA,563.0,EWR,IAD,-12
8,5,636,UA,951.0,IAD,RIC,1
9,5,645,UA,1095.0,DTW,IAD,-7
10,5,645,UA,1021.0,BOS,IAD,0
11,5,647,UA,901.0,LGA,IAD,-12
12,5,650,UA,1536.0,CAE,IAD,-6
13,5,650,CO,264.0,BOS,IAD,6
14,5,655,UA,900.0,IAD,LGA,-12
15,5,700,UA,773.0,BDL,IAD,-6
16,5,700,EA,509.0,IAD,ATL,12
17,5,705,CO,1185.0,ISP,IAD,2
18,5,705,NW,707.0,IAD,MSP,13
19,5,705,UA,1298.0,TPA,IAD,-10
20,5,705,UA,1144.0,FLL,IAD,-17
21,5,705,UA,1280.0,RSW,IAD,-18
22,5,707,AA,985.0,IAD,ORD,16
23,5,710,UA,1465.0,BUF,IAD,-3
24,5,710,CO,152.0,FLL,IAD,-13
25,5,720,UA,1579.0,ROC,IAD,-2
26,5,720,NW,769.0,IAD,DTW,0
27,5,720,UA,1401.0,MCO,IAD,-4
28,5,725,UA,1286.0,JAX,IAD,-3
29,5,725,CO,206.0,PBI,IAD,-19
30,5,735,UA,1552.0,GSO,IAD,0
31,5,735,CO,180.0,TPA,IAD,9
32,5,755,CO,670.0,IAD,EWR,-21
33,5,800,DL,1815.0,IAD,SLC,14
34,5,800,CO,1094.0,IAH,IAD,-24
35,5,800,US,591.0,IAD,PIT,0
36,5,800,UA,879.0,IAD,ORD,1
37,5,800,UA,1062.0,IAD,BOS,-17
38,5,805,CO,584.0,DEN,IAD,-28
39,5,810,EA,931.0,IAD,SJU,-1
40,5,810,UA,1581.0,IAD,CLE,3
41,5,810,UA,904.0,CHS,IAD,-4
42,5,812,AA,671.0,IAD,DFW,17
43,5,814,UA,746.0,ORD,IAD,1
44,5,815,UA,50.0,SFO,IAD,-21
45,5,815,UA,902.0,IAD,LGA,-7
46,5,820,UA,51.0,IAD,LAX,14
47,5,823,AA,272.0,DFW,IAD,-13
48,5,825,TW,862.0,SFO,IAD,-24
49,5,825,UA,1470.0,IAD,BDL,-12
50,5,825,CO,699.0,EWR,IAD,-18
51,5,830,UA,52.0,LAX,IAD,-21
52,5,830,UA,1428.0,RDU,IAD,-10
53,5,830,UA,1536.0,IAD,EWR,-12
54,5,830,UA,903.0,LGA,IAD,-8
55,5,835,US,141.0,PIT,IAD,-11
56,5,845,AA,76.0,LAX,IAD,-31
57,5,850,TW,890.0,LAX,IAD,-12
58,5,858,UA,1095.0,IAD,FLL,-9
59,5,900,CO,271.0,IAD,MCO,14
60,5,900,UA,21.0,IAD,SFO,18
61,5,900,AA,77.0,IAD,LAX,11
62,5,900,UA,1579.0,IAD,MIA,-8
63,5,902,UA,1021.0,IAD,MSY,1
64,5,905,UA,801.0,IAD,JFK,-3
65,5,905,CO,151.0,IAD,PBI,54
66,5,905,CO,160.0,IAD,TPA,23
67,5,906,UA,1465.0,IAD,TPA,6
68,5,908,UA,773.0,IAD,MCO,-1
69,5,910,CO,1605.0,IAD,DEN,39
70,5,912,UA,1461.0,IAD,CHS,13
71,5,915,UA,343.0,IAD,DEN,13
72,5,920,UA,1237.0,IAD,JAX,-1
73,5,929,DL,1810.0,SLC,IAD,-15
74,5,930,UA,905.0,LGA,IAD,-17
75,5,940,AA,439.0,IAD,ORD,1
76,5,948,AA,290.0,ORD,IAD,-4
77,5,1000,US,141.0,IAD,PHF,-7
78,5,1000,UA,904.0,IAD,LGA,-4
79,5,1000,DL,1819.0,JFK,IAD,-2
80,5,1000,NW,899.0,IAD,MEM,12
81,5,1000,UA,1298.0,IAD,BOS,-18
82,5,1000,UA,1023.0,BOS,IAD,6
83,5,1001,UA,1132.0,IAD,DTW,-14
84,5,1002,UA,1428.0,IAD,BDL,-10
85,5,1004,UA,1401.0,IAD,MDW,11
86,5,1010,UA,1553.0,EWR,IAD,-3
87,5,1010,UA,1423.0,BDL,IAD,2
88,5,1015,UA,1577.0,CLE,IAD,-7
89,5,1015,UA,1144.0,IAD,ROC,-6
90,5,1020,UA,1280.0,IAD,BUF,-7
91,5,1020,DL,330.0,ATL,IAD,-7
92,5,1020,CO,483.0,IAD,MIA,-6
93,5,1022,UA,903.0,IAD,CLE,-4
94,5,1025,CO,158.0,IAD,DTW,11
95,5,1025,CO,206.0,IAD,BOS,-25
96,5,1030,CO,162.0,IAD,ISP,-30
97,5,1046,UA,270.0,DEN,IAD,-12
98,5,1050,CO,778.0,DEN,IAD,-19
99,5,1120,US,155.0,PHF,IAD,0
100,5,1120,UA,705.0,IAD,ORD,8
101,5,1120,UA,906.0,IAD,LGA,-11
102,5,1120,UA,1402.0,MSY,IAD,-17
103,5,1129,UA,1451.0,MDW,IAD,-6
104,5,1130,CO,700.0,IAD,EWR,-7
105,5,1130,UA,1140.0,RSW,IAD,-20
106,5,1140,DL,1819.0,IAD,SLC,9
107,5,1159,UA,1555.0,BOS,IAD,18
108,5,1200,UA,1553.0,IAD,GSO,-11
109,5,1200,UA,1267.0,BDL,IAD,10
110,5,1200,NW,258.0,DTW,IAD,-8
111,5,1200,CO,1621.0,IAD,DEN,45
112,5,1202,UA,1577.0,IAD,MCO,3
113,5,1204,UA,1023.0,IAD,RDU,-5
114,5,1205,CO,200.0,PBI,IAD,56
115,5,1206,UA,1423.0,IAD,ORF,-7
116,5,1210,UA,1571.0,CLE,IAD,-7
117,5,1210,UA,1291.0,DTW,IAD,-11
118,5,1210,EA,652.0,ATL,IAD,-14
119,5,1215,UA,1294.0,FLL,IAD,14
120,5,1215,CO,164.0,FLL,IAD,-1
121,5,1218,UA,1450.0,MIA,IAD,-14
122,5,1220,UA,1043.0,BUF,IAD,-2
123,5,1220,UA,1619.0,ROC,IAD,-7
124,5,1220,UA,54.0,LAX,IAD,2
125,5,1225,UA,910.0,TPA,IAD,-13
126,5,1230,US,155.0,IAD,PIT,-2
127,5,1230,UA,909.0,LGA,IAD,-7
128,5,1230,TW,195.0,IAD,STL,-2
129,5,1230,CO,1099.0,IAD,IAH,34
130,5,1230,UA,1064.0,MCO,IAD,0
131,5,1230,CO,172.0,TPA,IAD,-11
132,5,1235,AA,272.0,IAD,BDL,-4
133,5,1240,CO,157.0,BOS,IAD,4
134,5,1240,DL,539.0,IAD,ATL,7
135,5,1240,CO,182.0,MCO,IAD,5
136,5,1245,UA,1184.0,JAX,IAD,-7
137,5,1250,NW,872.0,MEM,IAD,-11
138,5,1250,UA,20.0,SFO,IAD,2
139,5,1255,CO,192.0,ISP,IAD,-6
140,5,1255,CO,177.0,DTW,IAD,-14
141,5,1311,AA,131.0,IAD,DFW,7
142,5,1320,US,340.0,PIT,IAD,-4
143,5,1320,UA,1403.0,CHS,IAD,-8
144,5,1325,CO,1092.0,IAH,IAD,-24
145,5,1325,CO,586.0,DEN,IAD,-14
146,5,1330,CO,741.0,EWR,IAD,1
147,5,1330,CO,476.0,MIA,IAD,-10
148,5,1340,UA,1554.0,GSO,IAD,-16
149,5,1341,AA,567.0,BDL,IAD,4
150,5,1350,NW,819.0,IAD,MEM,24
151,5,1355,UA,1571.0,IAD,CAE,0
152,5,1356,UA,1267.0,IAD,MIA,-6
153,5,1358,UA,1043.0,IAD,MSY,9
154,5,1400,UA,1619.0,IAD,RSW,7
155,5,1402,UA,1291.0,IAD,FLL,-2
156,5,1406,UA,1427.0,IAD,TPA,54
157,5,1406,UA,146.0,ORD,IAD,-9
158,5,1410,UA,1555.0,IAD,GSO,-6
159,5,1415,UA,345.0,IAD,DEN,5
160,5,1415,UA,909.0,IAD,MCO,-8
161,5,1436,AA,338.0,DFW,IAD,-12
162,5,1450,UA,1068.0,MCO,IAD,-13
163,5,1450,CO,157.0,IAD,MCO,-12
164,5,1450,CO,192.0,IAD,TPA,9
165,5,1450,CO,267.0,IAD,PBI,-6
166,5,1454,DL,1816.0,SLC,IAD,8
167,5,1455,CO,177.0,IAD,JAX,-3
168,5,1500,CO,612.0,EWR,IAD,0
169,5,1500,EA,541.0,IAD,ATL,24
170,5,1510,US,353.0,IAD,PIT,0
171,5,1510,CO,1675.0,IAD,DEN,53
172,5,1515,UA,1184.0,IAD,DTW,-3
173,5,1520,CO,182.0,IAD,BOS,-22
174,5,1520,CO,194.0,IAD,MIA,-5
175,5,1522,UA,898.0,IAD,BOS,29
176,5,1524,UA,1403.0,IAD,MDW,19
177,5,1525,CO,741.0,IAD,DTW,1
178,5,1527,AA,567.0,IAD,DFW,1
179,5,1528,UA,1554.0,IAD,BDL,-13
180,5,1530,UA,344.0,DEN,IAD,-5
181,5,1532,UA,1402.0,IAD,ROC,-4
182,5,1534,UA,1064.0,IAD,BUF,-1
183,5,1535,CO,582.0,DEN,IAD,-29
184,5,1537,DL,1614.0,ATL,IAD,-9
185,5,1538,UA,1450.0,IAD,CLE,14
186,5,1551,UA,914.0,RDU,IAD,-6
187,5,1551,UA,1224.0,GSO,IAD,-18
188,5,1554,UA,1154.0,CAE,IAD,-2
189,5,1557,AA,236.0,ORD,IAD,-21
190,5,1600,DL,1601.0,IAD,ATL,16
191,5,1610,UA,1476.0,MSY,IAD,-23
192,5,1612,UA,1145.0,IAD,RSW,-3
193,5,1615,NW,467.0,MEM,IAD,-4
194,5,1624,DL,1812.0,SLC,IAD,-14
195,5,1625,NW,399.0,IAD,MSP,3
196,5,1637,TW,674.0,STL,IAD,0
197,5,1647,UA,888.0,ORD,IAD,4
198,5,1650,CO,735.0,IAD,EWR,-9
199,5,1655,UA,671.0,IAD,ORD,25
200,5,1655,DL,1007.0,ATL,IAD,6
201,5,1700,UA,1238.0,TPA,IAD,58
202,5,1700,UA,1404.0,MDW,IAD,-18
203,5,1710,UA,916.0,ORF,IAD,-3
204,5,1713,UA,1263.0,MIA,IAD,-5
205,5,1715,US,116.0,PIT,IAD,3
206,5,1715,UA,1575.0,CLE,IAD,5
207,5,1715,UA,1572.0,FLL,IAD,6
208,5,1715,UA,1405.0,RSW,IAD,-4
209,5,1721,AA,622.0,DFW,IAD,-25
210,5,1725,UA,1025.0,BOS,IAD,24
211,5,1725,TW,863.0,IAD,SFO,29
212,5,1730,UA,539.0,BDL,IAD,6
213,5,1730,CO,165.0,BOS,IAD,0
214,5,1730,CO,847.0,IAD,IAH,47
215,5,1730,UA,55.0,IAD,LAX,18
216,5,1732,UA,1068.0,IAD,BOS,-14
217,5,1734,UA,914.0,IAD,LGA,-6
218,5,1735,UA,1621.0,BUF,IAD,-4
219,5,1735,UA,1441.0,EWR,IAD,-3
220,5,1736,UA,1154.0,IAD,EWR,-10
221,5,1738,UA,1224.0,IAD,BDL,-1
222,5,1740,UA,1149.0,DTW,IAD,1
223,5,1745,UA,559.0,MCO,IAD,1
224,5,1745,CO,480.0,PBI,IAD,7
225,5,1745,TW,891.0,IAD,LAX,62
226,5,1746,UA,1090.0,JAX,IAD,-9
227,5,1750,CO,161.0,TPA,IAD,-5
228,5,1754,UA,1425.0,ROC,IAD,-9
229,5,1755,CO,154.0,MCO,IAD,-4
230,5,1755,DL,1811.0,IAD,SLC,-1
231,5,1800,CO,1637.0,IAD,DEN,46
232,5,1800,UA,347.0,IAD,DEN,-8
233,5,1805,CO,718.0,DTW,IAD,-2
234,5,1815,CO,184.0,JAX,IAD,-19
235,5,1825,EA,932.0,SJU,IAD,38
236,5,1830,UA,916.0,IAD,LGA,-16
237,5,1830,CO,254.0,MIA,IAD,-19
238,5,1835,US,203.0,IAD,PIT,0
239,5,1840,CO,848.0,IAH,IAD,-27
240,5,1851,UA,1575.0,IAD,JFK,-12
241,5,1859,AA,33.0,IAD,DFW,13
242,5,1905,CO,504.0,DEN,IAD,4
243,5,1915,UA,1477.0,EWR,IAD,2
244,5,1915,UA,919.0,LGA,IAD,20
245,5,1928,AA,121.0,IAD,ORD,5
246,5,1930,UA,1559.0,BDL,IAD,3
247,5,1930,UA,1027.0,BOS,IAD,-2
248,5,1930,CO,897.0,IAD,LAX,54
249,5,1930,UA,1425.0,IAD,FLL,7
250,5,1932,UA,1441.0,IAD,RDU,6
251,5,1934,UA,539.0,IAD,MCO,4
252,5,1940,UA,1505.0,IAD,RSW,19
253,5,1942,UA,1561.0,IAD,CHS,73
254,5,1945,EA,698.0,ATL,IAD,-2
255,5,1945,CO,190.0,IAD,FLL,7
256,5,1950,UA,1479.0,IAD,JAX,5
257,5,1950,CO,549.0,IAD,MCO,-1
258,5,1950,CO,197.0,IAD,TPA,35
259,5,1950,CO,165.0,IAD,PBI,-7
260,5,1953,UA,710.0,ORD,IAD,-8
261,5,1955,CO,718.0,IAD,EWR,-12
262,5,1955,CO,167.0,IAD,JAX,-1
263,5,1955,NW,883.0,MEM,IAD,-14
264,5,1959,AA,472.0,DFW,IAD,-20
265,5,2000,CO,785.0,EWR,IAD,8
